Birthday,ColorName,ColorNameKana,ColorCode,ColorWords,Personality
01/01,純白,じゅんぱく,#FFFFE5,純粋・優雅・シンプル,心の美しい最高の女性
01/02,フロスティホワイト,Frostie White,#E6EAE6,感性・論理・清浄,美学的な思索のとりこ
01/03,シルバーグレイ,Sliver Gray,#AFAFB0,勇気・バランス・経営力,気高い心の持ち主
01/04,アルミニウムグレイ,Aluminum Gray,#8D9192,明るさ・エネルギー,恐れを知らぬ明るい挑戦者
01/05,スチールグレイ,Steel Gray,#736D71,直観力・洞察力・潜在力,機転のきくしっかり者
01/06,葡萄鼠,ぶどうねずみ,#705B67,倫理観・スピード感・冒険心,ドラマチックな生活の実践者
01/07,漆黒,しっこく,#0D0015,情熱・才能・想像力,目標に向かってチャレンジする発想豊かな情熱家
01/08,シトロンイエロー,Lemonade Yellow,#b8c43a,宗教的感情・宇宙的構想,自然を愛する叙情家
01/09,苔色,こけいろ,#69821b,才気煥発・神秘性・想像力,人の温かさを感じられる人
01/10,草色,くさいろ,#7b8d42,英知・芸術・洗練,広大な感情世界の持ち主
01/11,ミストグリーン,Mist Green,#bdd99f,努力・才能・勇気,新時代をつくる理想的な人
01/12,白緑,びゃくいろ,#d6e9ca,気品・外交・洞察力,思いきりのいいチャレンジャー
01/13,パロットグリーン,Parrot Green,#37a34a,行動力・謙遜・沈着冷静,自分の生き方を持つ自立者
01/14,グラスグリーン,Grass Green,#7b8d44,感性・ユーモア・熟成,感情の成熟を待つ芸術家
01/15,深緑,ふかみどり,#00552e,信条・模範・慈愛,星の輝きのような瞳の持ち主
01/16,ホワイトリリー,WhiteLily,#f0f6da,大胆・想像力・信念,自然を愛する実践家
01/17,萌黄色,もえぎいろ,#006e54,生活意識・指導力・微笑み,度胸と好奇心のある美食家
01/18,フォーリッジ,Foliage,#47744b,誠実・洗練・謙虚,純粋さを保つ幼き者
01/19,リーフグリーン,Leaf Green,#9fc24d,優しさ・自尊心・精神性,何ごとも一生懸命な努力家
01/20,フォレストグリーン,Forest Green,#288c66,エネルギー・自己への投資,理想像をはっきり持つ者
01/21,空色,そらいろ,#a0d8ef,感性・可能性・芸術性,美しいものを感じとる才能
01/22,浅葱色,あさぎいろ,#00a3af,幸福・愛・友情,思いやりのある人
01/23,露草,つゆくさ,#38a1db,若々しさ・情緒・集中力,平和で静穏な心の持ち主
01/24,鴨羽の色,かものはいろ,#00688b,頭脳明晰・誠実・感受性,楽しい夢に向う楽天家
01/25,濃藍,こいあい,#0f2350,理想・現実・新生活,スムーズな生活ができる人
01/26,クリーム,Cream,#e3d7a3,豊かな表情・組織・機知,太陽のような個性の持ち主
01/27,ペールレモン,Peer Lemon,#fef400,着こなし・神秘的な眼,あか抜けた雰囲気な者
01/28,タンポポ色,たんぽぽいろ,#ffd900,冒険・明るさ・好奇心,生まれながらの楽天家
01/29,若草色,わかくさいろ,#c3d825,運動神経・知覚力・名誉,並はずれた説得力のある者
01/30,メドーグリーン,Medo Green,#529c47,あふれる愛・動物好き,動植物と相性のいい者
01/31,若芽色,わかめいろ,#e0ebaf,センチメンタル・社会的順応,傷つきやすいロマンチスト
02/01,コーンフラワーブルー,Cone Flower Blue,#3f4e93,文化的・社会的,社会的にも特に認められた芸術家
02/02,若紫,わかむらさき,#bc64a4,想像力・敬慕・直観力,人とはっきり差をつける個性派
02/03,ディープロイヤルブルー,Deep Royal Blue,#21297e,直観力・はにかみ・威厳,自分の価値を知っている生来のプリンセス
02/04,紅藤色,べにふじいろ,#cca6bf,感性・才気煥発・外向性,人と違う自分でいたい個性派
02/05,パンジーパープル,Pansy Purple,#50347e,宗教的・詩的な恍惚・神秘と夢幻,進むべき道を知っている霊感の持ち主
02/06,ペールライラック,Peer Lilac,#debdd8,家庭・表現力・気高さ,人を感動させる力を秘めた人
02/07,モーベット,Mobed,#b269a1,自主性・天才的資質・感性,ひたむきで使命感のある期待の星
02/08,バーガンディー,Burgundy,#6c2735,情熱的な瞳・可愛らしさ・思慮深さ,ものまね上手な可愛いいたずら者
02/09,フクシャパープル,Fuchsia Purple,#ea4a6e,国際感覚・活発・指導者,活躍する人間・味あふれる熱血漢
02/10,ローズレッド,Rose Red,#ea618e,愛情・感受性・知性,人を助けて励ます優しい人
02/11,紅色,べにいろ,#d3336f,開放的・単純明快・表現力,何ごとにも心から喜べる素直な人
